coin_id,name,symbol,categories,last_updated
dogwifcoin,dogwifhat,wif,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;GMCI Meme Index;GMCI Index,2025-07-11T04:58:07.257705+00:00
drift-protocol,Drift Protocol,drift,Decentralized Finance (DeFi);Derivatives;Prediction Markets;Solana Ecosystem,2025-07-11T04:58:08.530008+00:00
dydx-chain,dYdX,dydx,Decentralized Exchange (DEX);Smart Contract Platform;Decentralized Finance (DeFi);Cosmos Ecosystem;Perpetuals;Layer 1 (L1);Osmosis Ecosystem;Appchains;DragonFly Capital Portfolio;DeFiance Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI DeFi Index;Delphi Ventures Portfolio;GMCI Index;Polychain Capital Portfolio;Made in USA,2025-07-11T04:58:09.711062+00:00
dymension,Dymension,dym,Smart Contract Platform;Cosmos Ecosystem;Modular Blockchain;Osmosis Ecosystem;Rollups-as-a-Service (RaaS),2025-07-11T06:21:35.233227+00:00
ecash,eCash,xec,Smart Contract Platform;Layer 1 (L1);Bitcoin Fork;Proof of Work (PoW),2025-07-11T04:58:10.380377+00:00
echelon-prime,Echelon Prime,prime,Smart Contract Platform;Gaming (GameFi);Ethereum Ecosystem;Base Ecosystem;Card Games;Paradigm Portfolio;Gaming Blockchains;Gaming Utility Token,2025-07-11T04:58:10.953063+00:00
eigenlayer,EigenCloud (prev. EigenLayer),eigen,Infrastructure;Ethereum Ecosystem;Data Availability;Restaking;Polychain Capital Portfolio;Made in USA,2025-07-11T04:58:11.553043+00:00
elrond-erd-2,MultiversX,egld,Smart Contract Platform;Layer 1 (L1);MultiversX Ecosystem;Binance Launchpad;DWF Labs Portfolio;Proof of Stake (PoS);YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 1 Index;GMCI Index;Coinbase 50 Index,2025-07-11T04:58:12.751748+00:00
enjincoin,Enjin Coin,enj,Entertainment;Smart Contract Platform;Gaming (GameFi);NFT;Metaverse;Layer 1 (L1);Harmony Ecosystem;Ethereum Ecosystem;Gaming Blockchains;Energi Ecosystem,2025-07-11T04:58:13.325356+00:00
entangle,Entangle,ntgl,Smart Contract Platform;Oracle;Layer 1 (L1);Ethereum Ecosystem;Mantle Ecosystem;Cross-chain Communication;Consensys Portfolio,2025-07-11T04:58:13.890845+00:00
eos,EOS,eos,Smart Contract Platform;DWF Labs Portfolio;GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:58:14.523261+00:00
ether-fi,Ether.fi,ethfi,Decentralized Finance (DeFi);Binance Launchpool;Arbitrum Ecosystem;Ethereum Ecosystem;Restaking;Liquid Restaking Governance Tokens;Ether.fi Ecosystem;Consensys Portfolio;OKX Ventures Portfolio,2025-07-11T04:58:16.719226+00:00
ethereum,Ethereum,eth,Smart Contract Platform;Layer 1 (L1);Ethereum Ecosystem;FTX Holdings;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Delphi Ventures Portfolio;Galaxy Digital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index,2025-07-11T04:27:44.731407+00:00
ethereum-classic,Ethereum Classic,etc,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);Coinbase 50 Index,2025-07-11T04:58:18.713052+00:00
ethereum-name-service,Ethereum Name Service,ens,NFT;Ethereum Ecosystem;Decentralized Identifier (DID);Name Service,2025-07-11T04:58:19.228507+00:00
ethereum-pow-iou,EthereumPoW,ethw,Smart Contract Platform;EthereumPoW Ecosystem;Proof of Work (PoW),2025-07-11T04:58:19.792173+00:00
euler,Euler,eul,Lending/Borrowing Protocols;Ethereum Ecosystem;Paradigm Portfolio;Coinbase Ventures Portfolio,2025-07-11T04:58:20.341127+00:00
fartcoin,Fartcoin,fartcoin,Solana Ecosystem;Meme;Solana Meme;AI Meme;Pump.fun Ecosystem;Terminal of Truths;Binance Alpha Spotlight,2025-07-11T04:58:23.126214+00:00
fasttoken,Fasttoken,ftn,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Bahamut Ecosystem,2025-07-11T04:58:23.712775+00:00
fetch-ai,Artificial Superintelligence Alliance,fet,Artificial Intelligence (AI);NFT;BNB Chain Ecosystem;Ethereum Ecosystem;Binance Launchpad;DWF Labs Portfolio;Osmosis Ecosystem;AI Agents;GMCI DePIN Index;GMCI Index;Outlier Ventures Portfolio;AI Agent Launchpad,2025-07-11T04:58:24.254958+00:00
filecoin,Filecoin,fil,Infrastructure;Smart Contract Platform;Storage;Layer 1 (L1);DePIN;Alleged SEC Securities;Pantera Capital Portfolio;GMCI DePIN Index;GMCI 30 Index;Sequoia Capital Portfolio;Blockchain Capital Portfolio;GMCI Index;Made in USA,2025-07-11T04:58:24.783532+00:00
flare-networks,Flare,flr,Smart Contract Platform;Layer 1 (L1);DWF Labs Portfolio,2025-07-11T04:58:26.400330+00:00
floki,FLOKI,floki,Gaming (GameFi);NFT;BNB Chain Ecosystem;Metaverse;Meme;Play To Earn;Ethereum Ecosystem;Telegram Apps;Dog-Themed;DWF Labs Portfolio;RPG;On-chain Gaming;TokenFi Launchpad;GMCI Meme Index;GMCI Index,2025-07-11T04:58:26.921853+00:00
flow,Flow,flow,Smart Contract Platform;Sports;NFT;Layer 1 (L1);Animoca Brands Portfolio;Alleged SEC Securities;Multicoin Capital Portfolio;Proof of Stake (PoS);Flow Ecosystem;Andreessen Horowitz (a16z) Portfolio,2025-07-11T04:58:27.530268+00:00
freysa-ai,Freysa AI,fai,Artificial Intelligence (AI);Base Ecosystem;AI Agents;Binance Alpha Spotlight;AI Framework,2025-07-11T04:58:29.669718+00:00
funfair,FUNToken,fun,Gambling (GambleFi);Ethereum Ecosystem;Pantera Capital Portfolio;Energi Ecosystem,2025-07-11T04:58:30.207529+00:00
g-token,Gravity (by Galxe),g,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Decentralized Identifier (DID);Base Ecosystem;Gravity Alpha Ecosystem,2025-07-11T06:21:39.457174+00:00
gala,GALA,gala,Smart Contract Platform;Gaming (GameFi);NFT;Layer 1 (L1);Play To Earn;Ethereum Ecosystem;DWF Labs Portfolio;Gaming Platform;YZi Labs (Prev. Binance Labs) Portfolio;GalaChain Ecosystem;Made in USA,2025-07-11T04:58:30.716209+00:00
gas,Gas,gas,Infrastructure;Smart Contract Platform;NEO Ecosystem,2025-07-11T04:58:31.275595+00:00
gatechain-token,Gate,gt,Smart Contract Platform;Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem;Proof of Stake (PoS),2025-07-11T04:58:31.867283+00:00
gigachad-2,Gigachad,giga,Solana Ecosystem;Meme;Solana Meme;Murad Picks;4chan-Themed,2025-07-11T04:58:33.569504+00:00
gmt-token,GoMining Token,gomining,Gaming (GameFi);BNB Chain Ecosystem;Ethereum Ecosystem;TON Ecosystem,2025-07-11T04:58:34.695835+00:00
gmx,GMX,gmx,Decentralized Finance (DeFi);Derivatives;Perpetuals;Avalanche Ecosystem;Arbitrum Ecosystem,2025-07-11T04:58:35.314286+00:00
gnosis,Gnosis,gno,Decentralized Exchange (DEX);Smart Contract Platform;Decentralized Finance (DeFi);Prediction Markets;Layer 1 (L1);Gnosis Chain Ecosystem;MEV Protection;Arbitrum Ecosystem;Ethereum Ecosystem;SideChain;Energi Ecosystem,2025-07-11T04:58:35.927556+00:00
goatseus-maximus,Goatseus Maximus,goat,Solana Ecosystem;Meme;Solana Meme;AI Meme;Pump.fun Ecosystem;Terminal of Truths;Binance Alpha Spotlight,2025-07-11T04:58:36.540295+00:00
gohome,GOHOME,gohome,Solana Ecosystem;Meme,2025-07-11T04:58:37.058283+00:00
golem,Golem,glm,Artificial Intelligence (AI);Ethereum Ecosystem;DePIN;Energi Ecosystem;GMCI DePIN Index;GMCI Index,2025-07-11T04:58:37.632850+00:00
grass,Grass,grass,Artificial Intelligence (AI);Solana Ecosystem;DePIN;Polychain Capital Portfolio,2025-07-11T04:58:38.167065+00:00
harmony,Harmony,one,Smart Contract Platform;Layer 1 (L1);Harmony Ecosystem;Animoca Brands Portfolio;Binance Launchpad;YZi Labs (Prev. Binance Labs) Portfolio;Made in USA,2025-07-11T04:58:38.721783+00:00
hashkey-ecopoints,HashKey Platform Token,hsk,Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem,2025-07-11T04:58:39.864531+00:00
havven,Synthetix Network,snx,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Derivatives;Synthetic Issuer;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;DWF Labs Portfolio;Paradigm Portfolio;Coinbase Ventures Portfolio;Index Coop Defi Index;Energi Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Synthetic;GMCI Index;Coinbase 50 Index,2025-07-11T04:58:40.966401+00:00
hedera-hashgraph,Hedera,hbar,Smart Contract Platform;Layer 1 (L1);Hedera Ecosystem;GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;Outlier Ventures Portfolio;Made in USA;Directed Acyclic Graph (DAG),2025-07-11T04:58:42.000473+00:00
helium,Helium,hnt,Communication;Internet of Things (IOT);Smart Contract Platform;Solana Ecosystem;DePIN;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Made in USA;Coinbase 50 Index,2025-07-11T04:58:42.582038+00:00
hive,Hive,hive,Smart Contract Platform;SocialFi;Layer 1 (L1);Gaming Blockchains,2025-07-11T04:58:43.641258+00:00
holotoken,Holo,hot,Smart Contract Platform;Storage;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;DePIN;Base Ecosystem;Energi Ecosystem;Sora Ecosystem;GMCI DePIN Index;GMCI Index,2025-07-11T04:58:44.221904+00:00
humanity,Humanity,h,Infrastructure;Smart Contract Platform;Ethereum Ecosystem;Zero Knowledge (ZK);Privacy Blockchain;Binance Alpha Spotlight,2025-07-11T04:58:44.769281+00:00
hyperlane,Hyperlane,hyper,Infrastructure;BNB Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Interoperability;Base Ecosystem;Cross-chain Communication;Binance HODLer Airdrops;Binance Wallet IDO,2025-07-11T04:58:45.348439+00:00
hyperliquid,Hyperliquid,hype,Decentralized Exchange (DEX);Smart Contract Platform;Decentralized Finance (DeFi);Perpetuals;Layer 1 (L1);Hyperliquid Ecosystem,2025-07-11T04:58:45.916507+00:00
icon,ICON,icx,Smart Contract Platform;Cross-chain Communication;Pantera Capital Portfolio,2025-07-11T04:58:46.575750+00:00
ignition-fbtc,Function ƒBTC,fbtc,Crypto-Backed Tokens;BNB Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Mantle Ecosystem,2025-07-11T04:58:47.325790+00:00
illuvium,Illuvium,ilv,Gaming (GameFi);NFT;Metaverse;Play To Earn;Ethereum Ecosystem;Animoca Brands Portfolio;RPG;Gaming Governance Token;Adventure Games;Energi Ecosystem;Delphi Ventures Portfolio,2025-07-11T04:58:47.886084+00:00
immutable-x,Immutable,imx,Smart Contract Platform;Gaming (GameFi);NFT;Play To Earn;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Animoca Brands Portfolio;Immutable zkEVM Ecosystem;Coinbase Ventures Portfolio;Rollup;Gaming Blockchains;GMCI 30 Index;GMCI Index;Gaming Marketplace;Coinbase 50 Index,2025-07-11T04:58:48.416667+00:00
impossible-cloud-network-token,Impossible Cloud Network Token,icnt,Ethereum Ecosystem;DePIN;Base Ecosystem;Binance Alpha Spotlight,2025-07-11T04:58:48.964423+00:00
incrypt,Incrypt,inc,Gaming (GameFi);Solana Ecosystem,2025-07-11T04:58:49.546561+00:00
injective-protocol,Injective,inj,Smart Contract Platform;Decentralized Finance (DeFi);BNB Chain Ecosystem;Cosmos Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Real World Assets (RWA);Binance Launchpad;Osmosis Ecosystem;Proof of Stake (PoS);Pantera Capital Portfolio;Secret Ecosystem;GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:58:51.284232+00:00
instadapp,Fluid,fluid,Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Pantera Capital Portfolio,2025-07-11T04:58:51.831671+00:00
internet-computer,Internet Computer,icp,Artificial Intelligence (AI);Infrastructure;Smart Contract Platform;Layer 1 (L1);Internet Computer Ecosystem;Alleged SEC Securities;Multicoin Capital Portfolio;Layer 0 (L0);Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Polychain Capital Portfolio;Coinbase 50 Index,2025-07-11T04:58:52.361653+00:00
io,io.net,io,Artificial Intelligence (AI);Internet of Things (IOT);Binance Launchpool;Solana Ecosystem;DePIN;Animoca Brands Portfolio;Multicoin Capital Portfolio;Delphi Ventures Portfolio;OKX Ventures Portfolio;Made in USA,2025-07-11T04:58:52.927413+00:00
iostoken,IOST,iost,Smart Contract Platform;Proof of Stake (PoS);Sequoia Capital Portfolio,2025-07-11T04:58:53.474926+00:00
iota,IOTA,iota,Infrastructure;Smart Contract Platform;Decentralized Finance (DeFi);Layer 1 (L1);DePIN;DWF Labs Portfolio;Proof of Stake (PoS);IOTA EVM Ecosystem;Outlier Ventures Portfolio;Directed Acyclic Graph (DAG),2025-07-11T04:58:53.982689+00:00
iotex,IoTeX,iotx,Internet of Things (IOT);Ethereum Ecosystem;DePIN;Base Ecosystem;Account Abstraction;GMCI DePIN Index;GMCI Index;Made in USA,2025-07-11T04:58:54.562176+00:00
jasmycoin,JasmyCoin,jasmy,Internet of Things (IOT);Ethereum Ecosystem;DePIN;DWF Labs Portfolio;Coinbase 50 Index,2025-07-11T04:58:55.163368+00:00
jito-governance-token,Jito,jto,Decentralized Finance (DeFi);Solana Ecosystem;Liquid Staking Governance Tokens;Multicoin Capital Portfolio;Alameda Research Portfolio;Delphi Ventures Portfolio;Liquid Staking;Made in USA,2025-07-11T04:58:55.689166+00:00
jupiter-exchange-solana,Jupiter,jup,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Solana Ecosystem;GMCI DeFi Index;Dex Aggregator;GMCI Index;Made in USA,2025-07-11T04:58:57.118783+00:00
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,jlp,Decentralized Finance (DeFi);LP Tokens;Solana Ecosystem,2025-07-11T04:58:57.738546+00:00
just,JUST,jst,Decentralized Finance (DeFi);Tron Ecosystem,2025-07-11T04:58:58.861911+00:00
kadena,Kadena,kda,Smart Contract Platform;Layer 1 (L1);Kadena Ecosystem;Multicoin Capital Portfolio;Proof of Work (PoW);Made in USA,2025-07-11T04:58:59.478639+00:00
kaia,Kaia,kaia,Smart Contract Platform;Layer 1 (L1),2025-07-11T04:59:00.027093+00:00
kaito,KAITO,kaito,Artificial Intelligence (AI);Analytics;Base Ecosystem;Binance HODLer Airdrops;InfoFi,2025-07-11T04:59:00.559878+00:00
kamino,Kamino,kmno,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Solana Ecosystem;Binance Alpha Spotlight,2025-07-11T04:59:01.103513+00:00
kaspa,Kaspa,kas,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);Kaspa Ecosystem;Made in USA;Directed Acyclic Graph (DAG),2025-07-11T04:59:01.732918+00:00
kava,Kava,kava,Smart Contract Platform;Layer 1 (L1);Binance Launchpad;DWF Labs Portfolio;Osmosis Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Made in USA,2025-07-11T04:59:02.384015+00:00
ket,Ket,ket,Avalanche Ecosystem;Meme;Cat-Themed;Made in USA,2025-07-11T04:59:05.252669+00:00
kucoin-shares,KuCoin,kcs,Exchange-based Tokens;Centralized Exchange (CEX) Token;Circle Ventures Portfolio,2025-07-11T04:59:07.243011+00:00
kusama,Kusama,ksm,Smart Contract Platform;Polkadot Ecosystem;Proof of Stake (PoS);Pantera Capital Portfolio;Made in USA;Coinbase 50 Index;Hydration Ecosystem,2025-07-11T04:59:07.769653+00:00
lagrange,Lagrange,la,Artificial Intelligence (AI);Ethereum Ecosystem;Zero Knowledge (ZK);Binance HODLer Airdrops;Binance Alpha Spotlight,2025-07-11T04:59:09.613904+00:00
layerzero,LayerZero,zro,Smart Contract Platform;BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Multicoin Capital Portfolio;Layer 0 (L0);Cross-chain Communication;Circle Ventures Portfolio;Sequoia Capital Portfolio;OKX Ventures Portfolio,2025-07-11T04:59:10.164689+00:00
lcx,LCX,lcx,Exchange-based Tokens;Decentralized Finance (DeFi);Centralized Exchange (CEX) Token;Ethereum Ecosystem;Real World Assets (RWA);Alleged SEC Securities,2025-07-11T04:59:10.845513+00:00
legacy-token,Legacy Token,lgct,Education;Gaming (GameFi);BNB Chain Ecosystem;Base Ecosystem,2025-07-11T04:59:11.514237+00:00
leo-token,LEO Token,leo,Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem;Sora Ecosystem,2025-07-11T04:59:12.059743+00:00
lido-dao,Lido DAO,ldo,Infrastructure;Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Liquid Staking Governance Tokens;eGirl Capital Portfolio;Paradigm Portfolio;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Index Coop Defi Index;Alameda Research Portfolio;DragonFly Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI DeFi Index;Delphi Ventures Portfolio;Liquid Staking;GMCI Index;Coinbase 50 Index,2025-07-11T04:59:13.716702+00:00
liquity,Liquity,lqty,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Arbitrum Ecosystem;Ethereum Ecosystem;Alameda Research Portfolio;Pantera Capital Portfolio,2025-07-11T04:59:15.659486+00:00
litecoin,Litecoin,ltc,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-07-11T04:59:16.224964+00:00
livepeer,Livepeer,lpt,Artificial Intelligence (AI);Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;DePIN;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Pantera Capital Portfolio;GMCI DePIN Index;GMCI Index;Coinbase 50 Index,2025-07-11T04:59:16.837746+00:00
loopring,Loopring,lrc,Decentralized Exchange (DEX);Smart Contract Platform;Exchange-based Tokens;Decentralized Finance (DeFi);Arbitrum Ecosystem;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Loopring Ecosystem;Rollup;Energi Ecosystem,2025-07-11T04:59:17.954426+00:00
mag7-ssi,MAG7.ssi,mag7.ssi,Decentralized Finance (DeFi);Analytics;DeFi Index;Base Ecosystem,2025-07-11T04:59:19.085236+00:00
magic,Treasure,magic,Artificial Intelligence (AI);Gaming (GameFi);NFT;Metaverse;Arbitrum Ecosystem;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Gaming Blockchains;Gaming Governance Token;Gaming Utility Token;AI Agents;AI Agent Launchpad,2025-07-11T04:59:20.268626+00:00
magic-eden,Magic Eden,me,NFT;Solana Ecosystem;NFT Marketplace;Paradigm Portfolio;Sequoia Capital Portfolio,2025-07-11T04:59:20.878297+00:00
manta-network,Manta Network,manta,Smart Contract Platform;Polkadot Ecosystem;Binance Launchpool;Layer 2 (L2);Manta Network Ecosystem;Multicoin Capital Portfolio;Alameda Research Portfolio;DeFiance Capital Portfolio;YZi Labs (Prev. Binance Labs) Portfolio,2025-07-11T06:21:34.773745+00:00
mantle,Mantle,mnt,Smart Contract Platform;Ethereum Ecosystem;Layer 2 (L2);Mantle Ecosystem;DWF Labs Portfolio;DragonFly Capital Portfolio;GMCI Layer 2 Index;GMCI 30 Index;GMCI Index;World Liberty Financial Portfolio,2025-07-11T04:59:21.445430+00:00
mantra-dao,MANTRA,om,Infrastructure;Smart Contract Platform;BNB Chain Ecosystem;Cosmos Ecosystem;Layer 1 (L1);Polygon Ecosystem;Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem;Osmosis Ecosystem;Mantra Ecosystem,2025-07-11T04:59:23.786846+00:00
mask-network,Mask Network,mask,BNB Chain Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;DWF Labs Portfolio;Alameda Research Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio,2025-07-11T04:59:24.421295+00:00
matic-network,Polygon,matic,Smart Contract Platform;BNB Chain Ecosystem;Polygon Ecosystem;Harmony Ecosystem;Moonriver Ecosystem;Moonbeam Ecosystem;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Animoca Brands Portfolio;Alleged SEC Securities;Binance Launchpad;FTX Holdings;Coinbase Ventures Portfolio;Rollup;Proof of Stake (PoS);Alameda Research Portfolio;DragonFly Capital Portfolio;Energi Ecosystem;Sora Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 2 Index;GMCI 30 Index;Galaxy Digital Portfolio;GMCI Index;Coinbase 50 Index,2025-07-11T04:59:24.977487+00:00
melania-meme,Melania Meme,melania,Solana Ecosystem;Meme;Solana Meme;PolitiFi;Made in USA,2025-07-11T04:59:25.713201+00:00
memecoin-2,Memecoin,meme,NFT;Binance Launchpool;Meme;Ethereum Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Meme Index;GMCI Index,2025-07-11T06:21:34.299947+00:00
memecore,MemeCore,m,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Meme;Binance Alpha Spotlight,2025-07-11T04:59:26.282840+00:00
metal-blockchain,Metal Blockchain,metal,Ethereum Ecosystem;DWF Labs Portfolio;Made in USA,2025-07-11T04:59:26.818258+00:00
metaplex,Metaplex,mplx,Gaming (GameFi);NFT;BNB Chain Ecosystem;Solana Ecosystem;Launchpad;Animoca Brands Portfolio;FTX Holdings;Multicoin Capital Portfolio;Alameda Research Portfolio;Binance Alpha Spotlight,2025-07-11T04:59:27.414449+00:00
metis-token,Metis,metis,Smart Contract Platform;Ethereum Ecosystem;Metis Ecosystem;Layer 2 (L2);DWF Labs Portfolio;Rollup;GMCI Layer 2 Index;OKX Ventures Portfolio;GMCI Index,2025-07-11T04:59:28.090226+00:00
mimbogamegroup,MimboGameGroup,mgg,BNB Chain Ecosystem;Meme,2025-07-11T04:59:28.660890+00:00
mina-protocol,Mina Protocol,mina,Smart Contract Platform;Layer 1 (L1);Zero Knowledge (ZK);FTX Holdings;Paradigm Portfolio;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);Pantera Capital Portfolio;Circle Ventures Portfolio;Privacy Blockchain;Polychain Capital Portfolio;Made in USA;Coinbase 50 Index,2025-07-11T04:59:29.228762+00:00
mocaverse,Moca Network,moca,Gaming (GameFi);Ethereum Ecosystem;Decentralized Identifier (DID);Animoca Brands Portfolio;Base Ecosystem;OKX Ventures Portfolio;Outlier Ventures Portfolio,2025-07-11T04:59:29.889297+00:00
mog-coin,Mog Coin,mog,Meme;Ethereum Ecosystem;Base Ecosystem;Cat-Themed;Murad Picks;4chan-Themed,2025-07-11T04:59:30.505340+00:00
monero,Monero,xmr,Smart Contract Platform;Privacy;Layer 1 (L1);Proof of Work (PoW);Galaxy Digital Portfolio,2025-07-11T04:59:31.117519+00:00
moo-deng,Moo Deng,moodeng,Solana Ecosystem;Meme;Solana Meme;Pump.fun Ecosystem;Zoo-Themed;Binance Alpha Spotlight;TikTok Meme,2025-07-11T04:59:32.167020+00:00
moonwell-artemis,Moonwell,well,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Moonbeam Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Made in USA,2025-07-11T04:59:32.756903+00:00
mori-coin,MORI COIN,mori,Meme;Solana Meme,2025-07-11T04:59:33.317006+00:00
morpho,Morpho,morpho,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Ethereum Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Pantera Capital Portfolio;Morpho Ecosystem;Binance Alpha Spotlight,2025-07-11T04:59:34.415033+00:00
movement,Movement,move,Smart Contract Platform;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);YZi Labs (Prev. Binance Labs) Portfolio;OKX Ventures Portfolio;Binance HODLer Airdrops;World Liberty Financial Portfolio;Made in USA;Movement Ecosystem,2025-07-11T04:59:35.068150+00:00
mx-token,MX,mx,Exchange-based Tokens;Centralized Exchange (CEX) Token;Ethereum Ecosystem;Morph L2 Ecosystem,2025-07-11T04:59:36.239293+00:00
nano,Nano,xno,Layer 1 (L1);Payment Solutions;Made in USA;Directed Acyclic Graph (DAG),2025-07-11T04:59:36.862434+00:00
near,NEAR Protocol,near,Artificial Intelligence (AI);Smart Contract Platform;Layer 1 (L1);Near Protocol Ecosystem;Ethereum Ecosystem;Alleged SEC Securities;FTX Holdings;Data Availability;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;DragonFly Capital Portfolio;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Circle Ventures Portfolio;GMCI Index;Made in USA;Coinbase 50 Index;Chain Abstraction,2025-07-11T04:59:37.432164+00:00
neiro-3,Neiro,neiro,Meme;Ethereum Ecosystem;Dog-Themed,2025-07-11T04:59:37.963774+00:00
neiro-on-eth,Neiro on ETH,neiro,Meme;Ethereum Ecosystem;Dog-Themed,2025-07-11T04:59:38.594240+00:00
neo,NEO,neo,Smart Contract Platform;Proof of Stake (PoS);Made in China,2025-07-11T04:59:39.300767+00:00
nervos-network,Nervos Network,ckb,Smart Contract Platform;Interoperability;Layer 2 (L2);Rollup;Multicoin Capital Portfolio;Proof of Work (PoW);DragonFly Capital Portfolio;Sequoia Capital Portfolio;Blockchain Capital Portfolio;Polychain Capital Portfolio;Made in China,2025-07-11T04:59:39.862390+00:00
newton-project,AB,ab,BNB Chain Ecosystem;Binance Alpha Spotlight,2025-07-11T04:59:40.497511+00:00
nexo,NEXO,nexo,Polygon Ecosystem;Fantom Ecosystem;Ethereum Ecosystem;Alleged SEC Securities;Energi Ecosystem;Sora Ecosystem,2025-07-11T04:59:41.088994+00:00
nexusmind,NexusMind,nmd,SocialFi;BNB Chain Ecosystem,2025-07-11T04:59:41.769586+00:00
nkyc-token,NKYC Token,nkyc,Exchange-based Tokens;BNB Chain Ecosystem;Centralized Exchange (CEX) Token,2025-07-11T04:59:42.326733+00:00
non-playable-coin,Non-Playable Coin,npc,NFT;BNB Chain Ecosystem;Solana Ecosystem;Meme;Ethereum Ecosystem;Base Ecosystem;Hybrid Token Standards;Wojak-Themed;4chan-Themed,2025-07-11T04:59:44.023186+00:00
notcoin,Notcoin,not,Gaming (GameFi);Binance Launchpool;Meme;Play To Earn;TON Ecosystem;TON Meme;Tap to Earn,2025-07-11T04:59:44.635415+00:00
nxm,Nexus Mutual,nxm,Decentralized Finance (DeFi);Insurance;Ethereum Ecosystem,2025-07-11T04:59:45.178001+00:00
